Category: All categories

Week,Coronavirus disease 2019 + Covid + Covid-19: (Singapore)
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,12
2020-02-16,25
2020-02-23,37
2020-03-01,38
2020-03-08,59
2020-03-15,99
2020-03-22,100
2020-03-29,97
2020-04-05,96
2020-04-12,87
2020-04-19,68
2020-04-26,55
2020-05-03,46
2020-05-10,42
2020-05-17,43
2020-05-24,39
2020-05-31,37
2020-06-07,35
2020-06-14,35
2020-06-21,29
2020-06-28,29
2020-07-05,30
2020-07-12,32
2020-07-19,29
2020-07-26,27
2020-08-02,33
2020-08-09,26
2020-08-16,25
2020-08-23,23
2020-08-30,23
2020-09-06,21
2020-09-13,21
2020-09-20,21
2020-09-27,26
2020-10-04,26
2020-10-11,23
2020-10-18,21
2020-10-25,21
2020-11-01,17
2020-11-08,20
2020-11-15,21
2020-11-22,22
2020-11-29,21
2020-12-06,21
2020-12-13,21
2020-12-20,26
2020-12-27,23
2021-01-03,24
2021-01-10,24
2021-01-17,30
2021-01-24,26
2021-01-31,22
2021-02-07,21
2021-02-14,19
2021-02-21,20
2021-02-28,20
2021-03-07,20
2021-03-14,18
2021-03-21,21
2021-03-28,21
2021-04-04,23
2021-04-11,25
2021-04-18,33
2021-04-25,55
2021-05-02,64
2021-05-09,93
2021-05-16,97
2021-05-23,64
2021-05-30,63
2021-06-06,50
2021-06-13,49
2021-06-20,48
2021-06-27,39
2021-07-04,38
2021-07-11,59
2021-07-18,82
2021-07-25,56
2021-08-01,58
2021-08-08,44
2021-08-15,37
2021-08-22,39
2021-08-29,39
2021-09-05,61
2021-09-12,58
2021-09-19,58
2021-09-26,67
